,Terms,Freq,POS
373,despite,1489,IN
374,fill,1483,JJ
375,load,1475,NN
376,mild,1460,NN
377,length,1453,NN
378,racy,1439,NN
379,without,1436,IN
380,tomato,1432,NN
381,beautifully,1427,RB
382,tightly,1420,RB
383,leaf,1419,JJ
384,pie,1417,NN
385,old,1410,JJ
386,grip,1409,NN
387,pink,1405,NN
388,reveal,1403,NN
389,somewhat,1398,RB
390,soil,1395,VBZ
391,mango,1394,JJ
392,front,1394,NN
393,here,1386,RB
394,ample,1373,JJ
395,astringent,1366,JJ
396,raw,1366,JJ
397,fleshy,1365,NN
398,chunky,1365,NN
399,feature,1355,NN
400,rustic,1352,JJ
401,source,1347,NN
402,boast,1340,NN
403,highlight,1337,VBD
404,wrap,1335,WP
405,top,1332,JJ
406,appellation,1321,NN
407,least,1317,JJS
408,pomegranate,1315,JJ
409,honeysuckle,1310,NN
410,another,1308,DT
411,citrusy,1305,NN
412,lemony,1304,NN
413,extract,1300,NN
414,plush,1297,IN
415,graphite,1291,JJ
416,grow,1280,NN
417,underbrush,1277,JJ
418,opulent,1271,NN
419,cream,1270,NN
420,burst,1260,NN
421,short,1257,JJ
422,approachable,1246,JJ
423,winemaker,1244,NN
424,fig,1240,NN
425,boysenberry,1235,NN
426,purple,1235,JJ
427,viognier,1234,NN
428,hot,1233,JJ
429,name,1228,NN
430,nut,1222,JJ
431,play,1221,NN
432,heat,1211,NN
433,bean,1210,NN
434,finegrained,1205,VBN
435,across,1204,IN
436,meaty,1202,NN
437,beef,1202,NN
438,mushroom,1202,NN
439,nuance,1200,NN
440,menthol,1195,NN
441,excellent,1190,JJ
442,part,1184,NN
443,intrigue,1184,NN
444,petite,1183,JJ
445,region,1181,NN
446,extra,1177,JJ
447,burn,1172,NN
448,steely,1170,RB
449,offdry,1167,JJ
450,present,1161,JJ
451,gentle,1158,JJ
452,petal,1158,JJ
453,coconut,1154,NN
454,zinfandel,1148,NN
455,robust,1147,JJ
456,result,1146,NN
457,leathery,1135,NN
458,fairly,1123,RB
459,refine,1119,JJ
460,nutmeg,1115,NN
461,perfect,1110,JJ
462,promise,1109,NN
463,really,1109,RB
464,density,1105,JJ
465,brown,1100,IN
466,blackfruit,1097,NN
467,family,1096,NN
468,restrain,1095,NN
469,de,1094,IN
470,taut,1093,FW
471,small,1091,JJ
472,mourvèdre,1089,NN
473,sirah,1085,NN
474,fully,1085,RB
475,thyme,1084,JJ
476,use,1084,NN
477,minty,1080,NN
478,rind,1079,NN
479,broad,1076,JJ
480,star,1069,NN
481,invite,1066,JJ
482,display,1066,NN
483,background,1061,NN
484,intensely,1060,RB
485,amount,1060,VB
486,tar,1056,NN
487,slight,1049,JJ
488,salty,1048,NN
489,brace,1045,NN
490,may,1045,MD
491,continue,1045,VB
492,woody,1041,NN
493,mellow,1032,JJ
494,rubbery,1027,NN
495,mouthwatering,1021,VBG
496,chalky,1017,JJ
497,le,1016,NN
498,chop,1013,NN
499,richly,1011,JJ
500,run,1011,NN
501,ferment,1008,NN
502,easygoing,1007,VBG
503,dole,1007,JJ
504,yeasty,1003,JJ
505,bordeaux,1003,NN
506,tasty,1002,JJ
507,youll,1000,NN
508,floor,992,NN
509,luscious,987,JJ
510,mountain,984,NN
511,create,983,NN
512,bacon,982,NN
513,emerge,981,NN
514,thin,979,VBP
515,serious,977,JJ
516,entirely,974,RB
517,golden,972,JJ
518,press,971,NN
519,meet,964,NN
520,allow,963,JJ
521,sandalwood,962,NN
522,value,960,NN
523,modest,960,JJ
524,dish,959,JJ
525,california,958,NN
526,succulent,956,NN
527,please,954,NN
528,low,954,JJ
529,easydrinking,953,VBG
530,hit,950,NN
531,point,946,NN
532,throughout,944,IN
533,typical,940,JJ
534,reserve,937,NN
535,balsamic,936,JJ
536,stage,936,NN
537,stew,934,VBD
538,backbone,934,NN
539,work,931,NN
540,help,927,NN
541,basic,927,VB
542,banana,926,NN
543,firmly,923,RB
544,buttery,919,JJ
545,sauce,918,NN
546,evolve,914,VBP
547,grind,912,NN
548,game,911,NN
549,certainly,908,RB
550,case,905,NN
551,toward,902,IN
552,brighten,902,JJ
553,release,901,NN
554,profile,900,NN
555,minerally,900,RB
556,thing,899,NN
557,line,895,NN
558,softly,895,RB
559,grass,893,VBD
560,sparkle,893,NN
561,austere,892,RB
562,bitterness,890,RB
563,finely,890,RB
564,immediately,889,RB
565,wind,888,IN
566,tough,887,JJ
567,linear,886,JJ
568,moderate,885,JJ
569,quickly,880,RB
570,define,873,NN
571,drinkable,871,JJ
572,plant,871,NN
573,residual,870,JJ
574,final,870,JJ
575,base,868,NN
576,effort,868,NN
577,stalky,866,NN
578,label,863,NN
579,subdue,863,JJ
580,cake,860,NN
581,five,855,CD
582,wait,854,NN
583,dust,852,NN
584,try,852,VB
585,satisfy,849,NN
586,entice,849,NN
587,dont,848,NN
588,milk,848,NN
589,selection,848,NN
590,unusual,842,JJ
591,example,841,NN
592,cheese,840,JJ
593,napa,838,JJ
594,screwcap,834,NN
595,build,833,VB
596,brood,832,NN
597,gritty,831,JJ
598,summer,829,NN
599,youthful,827,NN
600,redberry,823,NN
601,butterscotch,822,NN
602,briny,821,NN
603,leafy,819,RBR
604,assertive,815,JJ
605,ginger,814,NN
606,crispness,814,NN
607,impression,813,NN
608,lychee,811,IN
609,recall,807,JJ
610,natural,807,JJ
611,zin,807,NN
612,accessible,805,JJ
613,grippy,805,JJ
614,friendly,805,JJ
615,three,803,CD
616,form,798,NN
617,begin,796,VB
618,drive,794,JJ
619,personality,792,NN
620,lightbodied,791,VBN
621,wave,791,VBP
622,range,790,NN
623,flat,790,JJ
624,dessert,788,NN
625,chocolaty,785,NN
626,hill,784,NN
627,late,783,RB
628,overripe,782,JJ
629,pencil,781,NN
630,several,779,JJ
631,characteristic,777,JJ
632,redfruit,774,NN
633,spring,773,NN
634,sparkler,773,NN
635,strongly,772,RB
636,air,772,VBZ
637,grassy,767,JJ
638,neutral,766,JJ
639,relatively,766,RB
640,know,765,VBP
641,level,761,NN
642,deliciously,760,RB
643,match,760,JJ
644,asian,758,JJ
645,freshly,758,RB
646,hearty,757,NN
647,rock,756,NN
648,six,755,CD
649,compact,755,JJ
650,component,754,NN
651,steak,754,NN
652,lavender,753,NN
653,always,748,RB
654,stand,748,VBP
655,enjoyable,747,JJ
656,center,746,NN
657,become,739,VBN
658,especially,739,RB
659,sensation,736,JJ
660,want,733,VBP
661,mingle,730,NN
662,warmth,730,NN
663,mostly,729,RB
664,might,726,MD
665,rough,723,VB
666,extremely,722,RB
667,suggestion,721,JJ
668,everyday,712,JJ
669,salt,711,NN
670,bone,710,NN
671,rubber,709,NN
672,passion,708,NN
673,decant,708,VB
674,away,708,RP
675,improve,707,VB
676,brambly,706,RB
677,elegantly,706,RB
678,pithy,705,JJ
679,slate,703,VBP
680,herbaceous,701,JJ
681,purity,700,NN
682,term,698,NN
683,tempranillo,698,JJ
684,pine,697,NN
685,yeast,697,NN
686,whole,696,JJ
687,peppercorn,696,NN
688,lee,695,NN
689,persistent,694,JJ
690,flavorful,693,JJ
691,fade,692,NN
692,preserve,689,NN
693,bread,689,VBP
694,likely,689,JJ
695,modern,689,JJ
696,rhubarb,688,NN
697,pale,686,NN
698,hightoned,686,VBD
699,singlevineyard,686,RB
700,lighter,685,JJR
701,expect,685,VBP
702,eucalyptus,685,JJ
703,appear,685,VBP
704,pith,684,VBN
705,perfectly,684,RB
706,charm,683,JJ
707,bubble,683,JJ
708,dryness,682,NN
709,apéritif,682,NN
710,cru,682,NN
711,barbecue,680,NN
712,finesse,680,NN
713,lace,678,NN
714,gorgeous,677,JJ
715,powder,677,NN
716,easily,675,RB
717,penetrate,675,VB
718,steel,674,NN
719,papaya,674,NNS
720,citric,673,JJ
721,generic,673,JJ
722,cook,672,NN
723,blackcurrant,671,JJ
724,mean,671,JJ
725,grabby,669,NN
726,oily,667,RB
727,italy,666,VBZ
728,surprisingly,666,RB
729,shade,666,JJ
730,otherwise,662,RB
731,deeply,661,RB
732,heady,660,JJ
733,tang,660,NN
734,flesh,656,JJ
735,lemonlime,656,NN
736,blackcherry,653,NN
737,mousse,653,NN
738,richer,653,NN
739,gooseberry,650,NN
740,something,649,NN
741,sit,648,NN
742,site,648,NN
743,nutty,647,JJ
744,behind,647,IN
745,gris,646,JJ
746,jasmine,642,NN
747,plus,642,CC
748,truffle,642,JJ
749,syrup,642,JJ
750,benefit,639,NN
751,fragrance,639,NN
752,influence,638,NN
753,isnt,636,NN
754,honeydew,634,NN
755,mediterranean,633,JJ
756,resiny,632,NN
757,slowly,631,RB
758,sophisticate,631,JJ
759,cure,626,NN
760,kick,626,NNP
761,thank,624,NN
762,expressive,623,JJ
763,let,623,NN
764,everything,622,NN
765,additional,622,JJ
766,slender,622,NN
767,accompany,622,NN
768,champagne,620,NN
769,wellbalanced,617,VBD
770,southern,617,JJ
771,bell,617,NN
772,hazelnut,616,NN
773,snappy,615,JJ
774,shape,615,NN
775,put,615,VBD
776,unfold,615,JJ
777,contrast,614,NN
778,root,614,NN
779,bramble,610,JJ
780,shiraz,610,JJ
781,real,609,JJ
782,coat,608,NN
783,wonderful,607,JJ
784,four,606,CD
785,sugary,604,JJ
786,drop,602,NN
787,stony,601,NN
788,fennel,601,VBP
789,medicinal,600,JJ
790,moderately,599,RB
791,mouthfilling,598,VBG
792,poise,595,NN
793,compel,594,NN
794,however,590,RB
795,syrupy,587,JJ
796,shy,586,JJ
797,combination,585,NN
798,standard,585,NN
799,vivid,585,NN
800,true,584,JJ
801,mildly,582,RB
802,till,582,JJ
803,future,579,JJ
804,softness,579,NN
805,meyer,578,NN
806,wonderfully,577,RB
807,astringency,577,JJ
808,meld,576,VBD
809,river,576,NN
810,half,575,NN
811,see,575,VBP
812,stainless,572,JJ
813,underlie,572,IN
814,call,570,NN
815,detail,570,NN
816,riper,568,NN
817,funky,567,VBD
818,complete,564,JJ
819,kiwi,564,NN
820,equal,564,JJ
821,appetizing,564,NN
822,far,556,RB
823,decade,556,NN
824,direct,554,JJ
825,nero,551,NN
826,substantial,548,JJ
827,sample,546,NN
828,within,545,IN
829,table,544,JJ
830,caramelize,544,NN
831,retain,544,NN
832,serve,544,VBP
833,oregano,542,NN
834,aromatics,540,NNS
835,second,539,JJ
836,fat,538,JJ
837,settle,538,NN
838,pick,538,NN
839,lose,535,VBP
840,overly,534,RB
841,sea,534,NN
842,considerable,532,JJ
843,pleasure,531,NN
844,different,530,JJ
845,rest,530,NN
846,orchard,527,NN
847,push,527,NN
848,yield,526,NN
849,pasta,524,NN
850,huge,523,JJ
851,hay,522,NN
852,complement,521,NN
853,tension,521,NN
854,decent,521,JJ
855,characterize,520,NN
856,pleasantly,519,RB
857,worth,519,JJ
858,extend,517,VBP
859,delicately,517,RB
860,beyond,516,IN
861,saturate,516,JJ
862,prove,515,NN
863,cigar,514,NN
864,raisiny,514,NN
865,strike,513,NN
866,vegetal,512,NN
867,nothing,509,NN
868,liqueur,506,NN
869,upfront,506,JJ
870,fermentation,506,NN
871,definitely,506,RB
872,never,504,RB
873,edgy,504,VBP
874,dill,501,NN
875,blackskinned,500,VBN
876,enhance,499,JJ
877,allure,499,NN
878,framework,498,NN
879,look,498,VBP
880,distinctive,497,JJ
881,fall,497,NN
882,rare,495,JJ
883,early,494,JJ
884,touriga,494,NN
885,totally,494,RB
886,chard,493,JJ
887,lengthy,493,JJ
888,inky,492,NN
889,fun,492,NN
890,resin,492,NN
891,surround,490,VBD
892,welcome,489,JJ
893,draw,489,NN
894,perhaps,489,RB
895,nature,487,JJ
896,stay,487,NN
897,fare,486,JJ
898,county,486,NN
899,unique,486,JJ
900,evident,486,JJ
901,prominent,484,JJ
902,offset,484,VBN
903,package,483,NN
904,densely,481,RB
905,stylish,481,JJ
906,initially,480,RB
907,version,480,NN
908,stonefruit,479,NN
909,nuanced,479,VBD
910,reminiscent,478,JJ
911,bay,477,NN
912,clone,477,NN
913,convey,474,JJ
914,american,474,JJ
915,grigio,473,NN
916,dominant,473,JJ
917,pull,473,NNS
918,say,473,VBP
919,guava,472,JJ
920,pungent,472,NN
921,brunello,469,NN
922,woodaged,468,VBD
923,near,467,IN
924,oregon,466,NN
925,asphalt,466,NN
926,oaked,465,VBD
927,roussanne,465,JJ
928,reflect,464,NN
929,tongue,461,NN
930,sticky,461,NN
931,waft,460,NN
932,due,460,JJ
933,primary,459,NN
934,probably,458,RB
935,place,457,NN
936,experience,455,NN
937,scorch,454,NN
938,notion,454,NN
939,surprise,453,NN
940,equally,451,RB
941,heart,450,NN
942,santa,450,NN
943,italian,449,JJ
944,oil,449,NN
945,single,449,JJ
946,pipe,448,NN
947,seductive,448,JJ
948,sleek,445,JJ
949,chicken,444,NN
950,pastry,444,NN
951,world,444,NN
952,block,443,NN
953,coolclimate,443,NN
954,waxy,443,NN
955,pork,442,NN
956,weighty,442,JJ
957,pop,441,NN
958,capture,441,NN
959,earthiness,441,NN
960,northern,441,JJ
961,shin,441,JJ
962,entry,439,NN
963,cardamom,439,NN
964,cuvée,439,NN
965,onto,438,IN
966,flint,438,NN
967,briary,438,JJ
968,kind,438,NN
969,stuff,438,NN
970,addition,437,NN
971,crème,437,VBP
972,traditional,436,JJ
973,nearly,436,RB
974,dance,436,NN
975,plummy,434,NN
976,lamb,434,JJ
977,spend,433,JJ
978,day,432,NN
979,shoot,432,NN
980,past,431,IN
981,barbera,431,NN
982,box,430,NN
983,healthy,430,JJ
984,scratchy,430,NN
985,sunny,430,JJ
986,punch,429,JJ
987,nacional,429,JJ
988,watermelon,429,NN
989,tartness,429,NN
990,veer,428,NN
991,vein,428,NN
992,gain,428,NN
993,attractively,427,RB
994,persist,427,JJ
995,area,426,NN
996,rosemary,426,JJ
997,brawny,425,NN
998,maintain,425,NN
999,grace,425,NN
1000,fruitforward,425,RB
1001,backdrop,424,VBZ
1002,breathe,423,JJ
1003,grand,423,JJ
1004,barolo,422,NN
1005,elderberry,422,VBP
1006,shine,421,NN
1007,cellaring,421,VBG
1008,quince,421,NN
1009,château,421,NN
1010,enjoyment,419,NN
1011,sémillon,418,NN
1012,underripe,418,JJ
1013,wide,417,JJ
1014,muscular,417,JJ
1015,douro,417,NN
1016,iron,416,NN
1017,onedimensional,415,JJ
1018,maturity,413,NN
1019,central,413,JJ
1020,choppy,412,JJ
1021,bordeauxstyle,412,IN
1022,washington,412,NN
1023,middle,411,NN
1024,aromatically,410,RB
1025,nebbiolo,410,JJ
1026,craft,410,NN
1027,often,409,RB
1028,every,409,DT
1029,dilute,409,NN
1030,similar,408,JJ
1031,textural,408,JJ
1032,brut,408,NN
1033,chalk,408,NN
1034,coastal,406,NN
1035,juiciness,406,NN
1036,life,405,NN
1037,swirl,404,JJ
1038,pristine,404,NN
1039,proportion,404,NN
1040,a,403,DT
1041,wellintegrated,402,VBN
1042,organically,401,RB
1043,zippy,400,JJ
1044,grainy,399,NN
1045,acacia,399,NNS
1046,weave,399,VBP
1047,superripe,399,VBN
1048,among,399,IN
1049,blast,398,JJ
1050,slice,396,NN
1051,carmenère,395,NN
1052,exuberant,395,VBP
1053,particularly,394,RB
1054,tiny,393,JJ
1055,luminous,393,JJ
1056,mediumweight,393,NN
1057,nervy,393,NNS
1058,sheer,393,VBP
1059,tense,392,JJ
1060,faint,390,NN
1061,limit,390,NN
1062,wellmade,389,VBD
1063,aggressive,389,JJ
1064,creek,388,NN
1065,overtone,388,NN
1066,coast,387,NN
1067,couple,387,NN
1068,import,386,NN
1069,sturdy,386,NN
1070,prosecco,386,NN
1071,maple,386,NN
1072,la,386,NN
1073,shave,384,VBP
1074,saline,383,JJ
1075,production,380,NN
1076,property,380,NN
1077,lithe,380,NN
1078,seafood,378,NN
1079,garnacha,378,NN
1080,manage,378,NN
1081,energy,378,NN
1082,molasses,377,NNS
1083,do,377,VBP
1084,fruitdriven,377,RB
1085,streamline,377,VB
1086,massive,376,JJ
1087,heavily,375,RB
1088,parcel,374,JJ
1089,exhibit,373,NN
1090,estategrown,373,JJ
1091,immediate,371,JJ
1092,soy,371,NN
1093,sonoma,371,NN
1094,harmonious,370,JJ
1095,native,370,JJ
1096,stem,369,NN
1097,brightness,369,JJ
1098,acre,369,NN
1099,winemaking,368,VBG
1100,approach,368,NN
1101,longer,368,RBR
1102,potent,367,JJ
1103,maybe,366,RB
1104,distinct,366,JJ
1105,crust,366,NN
1106,lemongrass,365,NN
1107,ageworthy,364,NN
1108,abound,362,IN
1109,simply,362,RB
1110,moist,362,JJ
1111,pinch,360,NN
1112,popcorn,360,NN
1113,house,359,NN
1114,season,359,NN
1115,beer,359,NN
1116,creaminess,359,NN
1117,gently,359,RB
1118,regular,358,JJ
1119,deal,358,NN
1120,clear,358,JJ
1121,salad,357,JJ
1122,compote,357,NN
1123,dash,357,NN
1124,control,357,NN
1125,gold,356,NN
1126,join,356,NN
1127,attention,356,NN
1128,marmalade,355,VBD
1129,rugged,354,VBN
1130,walnut,354,NN
1131,darkskinned,353,VBN
1132,rhône,353,NN
1133,yearold,353,JJ
1134,initial,352,JJ
1135,love,352,NN
1136,own,351,JJ
1137,think,350,NN
1138,lightness,350,NN
1139,allspice,350,RB
1140,custard,350,RB
1141,barely,349,RB
1142,swathe,349,JJ
1143,rioja,349,NN
1144,toffee,349,NN
1145,melt,348,VBD
1146,brim,348,JJ
1147,fan,348,NN
1148,pronounce,347,NN
1149,chill,347,NN
1150,port,347,VB
1151,barnyard,347,NN
1152,gewürztraminer,346,NN
1153,aspect,346,JJ
1154,ideal,346,NN
1155,foodfriendly,346,RB
1156,bear,345,JJ
1157,dimension,344,NN
1158,underneath,344,NN
1159,organic,343,JJ
1160,squeeze,343,NN
1161,south,342,NN
1162,refreshingly,342,RB
1163,ground,342,NN
1164,abundant,341,JJ
1165,reward,341,NN
1166,leesy,340,NN
1167,farm,339,NN
1168,cracker,339,NN
1169,sort,339,NN
1170,mulberry,338,NN
1171,perlage,338,NN
1172,di,337,NN
1173,narrow,337,JJ
1174,flinty,336,JJ
1175,fish,336,NN
1176,informal,335,JJ
1177,juniper,335,NN
1178,botrytis,334,NN
1179,whose,334,WP$
1180,crisply,334,JJ
1181,hour,333,NN
1182,verve,333,NN
1183,ever,333,RB
1184,saucy,332,JJ
1185,foot,332,NN
1186,moment,332,NN
1187,oakdriven,331,RB
1188,cloy,331,VBD
1189,compose,330,JJ
1190,voluptuous,330,JJ
1191,redolent,330,NN
1192,spanish,330,JJ
1193,blackplum,329,NN
1194,brand,329,NN
1195,tree,329,NN
1196,gamy,328,JJ
1197,array,327,NN
1198,flashy,327,JJ
1199,hide,327,NN
1200,redcurrant,327,NN
1201,key,326,NN
1202,heft,326,VBD
1203,buy,325,JJ
1204,showcase,325,NN
1205,completely,324,RB
1206,crunchy,324,JJ
1207,extraction,324,NN
1208,darker,324,NN
1209,highly,323,RB
1210,splash,322,JJ
1211,impressively,322,RB
1212,overwhelm,322,JJ
1213,riserva,322,NN
1214,decadent,321,NN
1215,smoothly,321,RB
1216,salmon,321,JJ
1217,essence,321,NN
1218,impress,320,NN
1219,miss,319,VBP
