,Terms,Freq
674,away,708
675,improve,707
676,brambly,706
677,elegantly,706
678,pithy,705
679,slate,703
680,herbaceous,701
681,purity,700
682,term,698
683,tempranillo,698
684,pine,697
685,yeast,697
686,whole,696
687,peppercorn,696
688,lee,695
689,persistent,694
690,flavorful,693
691,fade,692
692,preserve,689
693,bread,689
694,likely,689
695,modern,689
696,rhubarb,688
697,pale,686
698,hightoned,686
699,singlevineyard,686
700,lighter,685
701,expect,685
702,eucalyptus,685
703,appear,685
704,pith,684
705,perfectly,684
706,charm,683
707,bubble,683
708,dryness,682
709,apéritif,682
710,cru,682
711,barbecue,680
712,finesse,680
713,lace,678
714,gorgeous,677
715,powder,677
716,easily,675
717,penetrate,675
718,steel,674
719,papaya,674
720,citric,673
721,generic,673
722,cook,672
723,blackcurrant,671
724,mean,671
725,grabby,669
726,oily,667
727,italy,666
728,surprisingly,666
729,shade,666
730,otherwise,662
731,deeply,661
732,heady,660
733,tang,660
734,flesh,656
735,lemonlime,656
736,blackcherry,653
737,mousse,653
738,richer,653
739,gooseberry,650
740,something,649
741,sit,648
742,site,648
743,nutty,647
744,behind,647
745,gris,646
746,jasmine,642
747,plus,642
748,truffle,642
749,syrup,642
750,benefit,639
751,fragrance,639
752,influence,638
753,isnt,636
754,honeydew,634
755,mediterranean,633
756,resiny,632
757,slowly,631
758,sophisticate,631
759,cure,626
760,kick,626
761,thank,624
762,expressive,623
763,let,623
764,everything,622
765,additional,622
766,slender,622
767,accompany,622
768,champagne,620
769,wellbalanced,617
770,southern,617
771,bell,617
772,hazelnut,616
773,snappy,615
774,shape,615
775,put,615
776,unfold,615
777,contrast,614
778,root,614
779,bramble,610
780,shiraz,610
781,real,609
782,coat,608
783,wonderful,607
784,four,606
785,sugary,604
786,drop,602
787,stony,601
788,fennel,601
789,medicinal,600
790,moderately,599
791,mouthfilling,598
792,poise,595
793,compel,594
794,however,590
795,syrupy,587
796,shy,586
797,combination,585
798,standard,585
799,vivid,585
800,true,584
801,mildly,582
802,till,582
803,future,579
804,softness,579
805,meyer,578
806,wonderfully,577
807,astringency,577
808,meld,576
809,river,576
810,half,575
811,see,575
812,stainless,572
813,underlie,572
814,call,570
815,detail,570
816,riper,568
817,funky,567
818,complete,564
819,kiwi,564
820,equal,564
821,appetizing,564
822,far,556
823,decade,556
824,direct,554
825,nero,551
826,substantial,548
827,sample,546
828,within,545
829,table,544
830,caramelize,544
831,retain,544
832,serve,544
833,oregano,542
834,aromatics,540
835,second,539
836,fat,538
837,settle,538
838,pick,538
839,lose,535
840,overly,534
841,sea,534
842,considerable,532
843,pleasure,531
844,different,530
845,rest,530
846,orchard,527
847,push,527
848,yield,526
849,pasta,524
850,huge,523
851,hay,522
852,complement,521
853,tension,521
854,decent,521
855,characterize,520
856,pleasantly,519
857,worth,519
858,extend,517
859,delicately,517
860,beyond,516
861,saturate,516
862,prove,515
863,cigar,514
864,raisiny,514
865,strike,513
866,vegetal,512
867,nothing,509
868,liqueur,506
869,upfront,506
870,fermentation,506
871,definitely,506
872,never,504
873,edgy,504
874,dill,501
875,blackskinned,500
876,enhance,499
877,allure,499
878,framework,498
879,look,498
880,distinctive,497
881,fall,497
882,rare,495
883,early,494
884,touriga,494
885,totally,494
886,chard,493
887,lengthy,493
888,inky,492
889,fun,492
890,resin,492
891,surround,490
892,welcome,489
893,draw,489
894,perhaps,489
895,nature,487
896,stay,487
897,fare,486
898,county,486
899,unique,486
900,evident,486
901,prominent,484
902,offset,484
903,package,483
904,densely,481
905,stylish,481
906,initially,480
907,version,480
908,stonefruit,479
909,nuanced,479
910,reminiscent,478
911,bay,477
912,clone,477
913,convey,474
914,american,474
915,grigio,473
916,dominant,473
917,pull,473
918,say,473
919,guava,472
920,pungent,472
921,brunello,469
922,woodaged,468
923,near,467
924,oregon,466
925,asphalt,466
926,oaked,465
927,roussanne,465
928,reflect,464
929,tongue,461
930,sticky,461
931,waft,460
932,due,460
933,primary,459
934,probably,458
935,place,457
936,experience,455
937,scorch,454
938,notion,454
939,surprise,453
940,equally,451
941,heart,450
942,santa,450
943,italian,449
944,oil,449
945,single,449
946,pipe,448
947,seductive,448
948,sleek,445
949,chicken,444
950,pastry,444
951,world,444
952,block,443
953,coolclimate,443
954,waxy,443
955,pork,442
956,weighty,442
957,pop,441
958,capture,441
959,earthiness,441
960,northern,441
961,shin,441
962,entry,439
963,cardamom,439
964,cuvée,439
965,onto,438
966,flint,438
967,briary,438
968,kind,438
969,stuff,438
970,addition,437
971,crème,437
972,traditional,436
973,nearly,436
974,dance,436
975,plummy,434
976,lamb,434
977,spend,433
978,day,432
979,shoot,432
980,past,431
981,barbera,431
982,box,430
983,healthy,430
984,scratchy,430
985,sunny,430
986,punch,429
987,nacional,429
988,watermelon,429
989,tartness,429
990,veer,428
991,vein,428
992,gain,428
993,attractively,427
994,persist,427
995,area,426
996,rosemary,426
997,brawny,425
998,maintain,425
999,grace,425
1000,fruitforward,425
1001,backdrop,424
1002,breathe,423
1003,grand,423
1004,barolo,422
1005,elderberry,422
1006,shine,421
1007,cellaring,421
1008,quince,421
1009,château,421
1010,enjoyment,419
1011,sémillon,418
1012,underripe,418
1013,wide,417
1014,muscular,417
1015,douro,417
1016,iron,416
1017,onedimensional,415
1018,maturity,413
1019,central,413
1020,choppy,412
1021,bordeauxstyle,412
1022,washington,412
1023,middle,411
1024,aromatically,410
1025,nebbiolo,410
1026,craft,410
1027,often,409
1028,every,409
1029,dilute,409
1030,similar,408
1031,textural,408
1032,brut,408
1033,chalk,408
1034,coastal,406
1035,juiciness,406
1036,life,405
1037,swirl,404
1038,pristine,404
1039,proportion,404
1040,a,403
1041,wellintegrated,402
1042,organically,401
1043,zippy,400
1044,grainy,399
1045,acacia,399
1046,weave,399
1047,superripe,399
1048,among,399
1049,blast,398
1050,slice,396
1051,carmenère,395
1052,exuberant,395
1053,particularly,394
1054,tiny,393
1055,luminous,393
1056,mediumweight,393
1057,nervy,393
1058,sheer,393
1059,tense,392
1060,faint,390
1061,limit,390
1062,wellmade,389
1063,aggressive,389
1064,creek,388
1065,overtone,388
1066,coast,387
1067,couple,387
1068,import,386
1069,sturdy,386
1070,prosecco,386
1071,maple,386
1072,la,386
1073,shave,384
1074,saline,383
1075,production,380
1076,property,380
1077,lithe,380
1078,seafood,378
1079,garnacha,378
1080,manage,378
1081,energy,378
1082,molasses,377
1083,do,377
1084,fruitdriven,377
1085,streamline,377
1086,massive,376
1087,heavily,375
1088,parcel,374
1089,exhibit,373
1090,estategrown,373
1091,immediate,371
1092,soy,371
1093,sonoma,371
1094,harmonious,370
1095,native,370
1096,stem,369
1097,brightness,369
1098,acre,369
1099,winemaking,368
1100,approach,368
1101,longer,368
1102,potent,367
1103,maybe,366
1104,distinct,366
1105,crust,366
1106,lemongrass,365
1107,ageworthy,364
1108,abound,362
1109,simply,362
1110,moist,362
1111,pinch,360
1112,popcorn,360
1113,house,359
1114,season,359
1115,beer,359
1116,creaminess,359
1117,gently,359
1118,regular,358
1119,deal,358
1120,clear,358
1121,salad,357
1122,compote,357
1123,dash,357
1124,control,357
1125,gold,356
1126,join,356
1127,attention,356
1128,marmalade,355
1129,rugged,354
1130,walnut,354
1131,darkskinned,353
1132,rhône,353
1133,yearold,353
1134,initial,352
1135,love,352
1136,own,351
1137,think,350
1138,lightness,350
1139,allspice,350
1140,custard,350
1141,barely,349
1142,swathe,349
1143,rioja,349
1144,toffee,349
1145,melt,348
1146,brim,348
1147,fan,348
1148,pronounce,347
1149,chill,347
1150,port,347
1151,barnyard,347
1152,gewürztraminer,346
1153,aspect,346
1154,ideal,346
1155,foodfriendly,346
1156,bear,345
1157,dimension,344
1158,underneath,344
1159,organic,343
1160,squeeze,343
1161,south,342
1162,refreshingly,342
1163,ground,342
1164,abundant,341
1165,reward,341
1166,leesy,340
1167,farm,339
1168,cracker,339
1169,sort,339
1170,mulberry,338
1171,perlage,338
1172,di,337
1173,narrow,337
1174,flinty,336
1175,fish,336
1176,informal,335
1177,juniper,335
1178,botrytis,334
1179,whose,334
1180,crisply,334
1181,hour,333
1182,verve,333
1183,ever,333
1184,saucy,332
1185,foot,332
1186,moment,332
1187,oakdriven,331
1188,cloy,331
1189,compose,330
1190,voluptuous,330
1191,redolent,330
1192,spanish,330
1193,blackplum,329
1194,brand,329
1195,tree,329
1196,gamy,328
1197,array,327
1198,flashy,327
1199,hide,327
1200,redcurrant,327
1201,key,326
1202,heft,326
1203,buy,325
1204,showcase,325
1205,completely,324
1206,crunchy,324
1207,extraction,324
1208,darker,324
1209,highly,323
1210,splash,322
1211,impressively,322
1212,overwhelm,322
1213,riserva,322
1214,decadent,321
1215,smoothly,321
1216,salmon,321
1217,essence,321
1218,impress,320
1219,miss,319
1220,mute,318
1221,bubbly,318
1222,delightful,317
1223,contain,317
1224,contribute,316
1225,atop,316
1226,express,316
1227,sure,316
1228,animal,315
1229,davola,315
1230,choice,315
1231,soda,315
1232,extreme,314
1233,crack,314
1234,cinsault,314
1235,redcherry,313
1236,petrol,313
1237,popular,312
1238,measure,312
1239,bonedry,311
1240,tire,311
1241,instead,310
1242,introduce,309
1243,hail,308
1244,state,308
1245,north,306
1246,carob,306
1247,restraint,305
1248,difficult,304
1249,sign,303
1250,softer,303
1251,date,302
1252,boost,302
1253,youth,302
1254,spirit,302
1255,sprinkle,301
1256,fleet,301
1257,hand,301
1258,water,300
1259,cold,299
1260,reduce,298
1261,viscous,298
1262,grapy,296
1263,ruby,296
1264,partner,295
1265,tad,295
1266,upon,294
1267,home,294
1268,underscore,293
1269,fair,293
1270,peak,293
1271,percentage,293
1272,peachy,293
1273,dinner,292
1274,stun,292
1275,beeswax,292
1276,special,292
1277,granite,292
1278,iris,291
1279,quaffable,290
1280,large,290
1281,jelly,289
1282,sipper,289
1283,lie,288
1284,unwind,288
1285,loamy,288
1286,ton,288
1287,apparent,286
1288,refreshment,286
1289,ager,286
1290,presence,286
1291,since,286
1292,force,285
1293,roundness,285
1294,brioche,285
1295,rooty,285
1296,tarry,284
1297,field,284
1298,spiciness,284
1299,affordable,284
1300,scour,284
1301,lipsmacking,284
1302,quick,284
1303,sagebrush,283
1304,classy,283
1305,luxurious,283
1306,roll,283
1307,unctuous,283
1308,chenin,282
1309,appearance,282
1310,tonic,282
1311,oxidize,282
1312,proper,282
1313,undertone,282
1314,punchy,282
1315,pizza,281
1316,precise,281
1317,paso,281
1318,stick,281
1319,job,280
1320,signal,280
1321,pickle,280
1322,woodspice,279
1323,pierce,278
1324,lightweight,278
1325,consistent,278
1326,speak,278
1327,brûlée,278
1328,tannat,277
1329,ride,277
1330,emphasize,277
1331,compost,277
1332,impart,277
1333,gravel,276
1334,unoaked,275
1335,whitefruit,274
1336,superb,274
1337,fore,274
1338,steady,273
1339,chamomile,273
1340,powerfully,273
1341,fact,273
1342,versatile,272
1343,premier,272
1344,mouthful,271
1345,seamless,271
1346,funk,271
1347,woodland,271
1348,dose,270
1349,invigorate,270
1350,marzipan,270
1351,barrelfermented,270
1352,lilac,270
1353,unripe,269
1354,reach,269
1355,closegrained,267
1356,velvet,267
1357,frothy,267
1358,move,267
1359,dull,267
1360,harvest,267
1361,nonetheless,266
1362,bolster,266
1363,darkfruit,266
1364,exceptional,266
1365,wash,266
1366,beauty,266
1367,score,266
1368,wiry,266
1369,textbook,264
1370,bark,264
1371,malvasia,263
1372,lavish,263
1373,local,263
1374,obvious,263
1375,noticeable,263
1376,brilliant,263
1377,walla,263
1378,super,262
1379,surface,262
1380,dr,261
1381,blacken,261
1382,flood,261
1383,harsh,261
1384,sb,261
1385,render,261
1386,blocky,261
1387,longterm,261
1388,sprightly,260
1389,twist,260
1390,chilean,260
1391,potpourri,260
1392,main,260
1393,bittersweet,259
1394,stemmy,259
1395,seven,259
1396,village,258
1397,fascinate,258
1398,warmer,258
1399,incredibly,258
1400,indicate,257
1401,knit,257
1402,cantaloupe,257
1403,ultimately,257
1404,angular,257
1405,lick,256
1406,strength,256
1407,lusty,256
1408,foamy,254
1409,wont,254
1410,class,254
1411,mandarin,253
1412,curd,253
1413,fudge,253
1414,alicante,252
1415,carignan,252
1416,terrific,252
1417,grüner,252
1418,expensive,252
1419,road,251
1420,amarone,251
1421,overpower,251
1422,anything,251
1423,terroir,251
1424,later,250
1425,excite,250
1426,eventually,250
1427,toastiness,249
1428,fit,249
1429,certain,249
1430,stiff,248
1431,sweetly,248
1432,indian,247
1433,hibiscus,246
1434,muscat,245
1435,chianti,245
1436,russian,245
1437,sear,245
1438,muddle,245
1439,phenolic,245
1440,opulence,245
1441,comprise,244
1442,snap,244
1443,spritzy,244
1444,represent,243
1445,trace,242
1446,semisweet,242
1447,harmony,242
1448,dazzle,242
1449,generously,242
1450,stewy,241
1451,eight,240
1452,clay,240
1453,marry,240
1454,series,239
1455,classico,239
1456,paste,239
1457,cushion,238
1458,ethereal,238
1459,historic,238
1460,towards,238
1461,accentuate,237
1462,watery,237
1463,marsanne,237
1464,lake,237
1465,announce,236
1466,hickory,235
1467,spritz,235
1468,flabby,235
1469,consume,233
1470,tame,233
1471,subtlety,233
1472,smaller,232
1473,ting,232
1474,climate,231
1475,usual,231
1476,course,231
1477,cider,231
1478,mind,231
1479,zingy,231
1480,cooler,231
1481,hue,230
1482,bartlett,230
1483,majority,230
1484,absolutely,229
1485,thread,229
1486,enormously,229
1487,companion,228
1488,morello,228
1489,echo,228
1490,seemingly,227
1491,outstanding,227
1492,widely,226
1493,buoy,226
1494,cleanse,226
1495,pit,226
1496,secondary,226
1497,seamlessly,225
1498,challenge,225
1499,drier,225
1500,smith,225
1501,bland,224
1502,solidly,224
1503,consider,223
1504,corn,222
1505,effect,222
1506,grain,222
1507,blow,222
1508,prickly,222
1509,spot,222
1510,hallmark,222
1511,explode,221
1512,elevate,220
1513,pour,220
1514,entrylevel,220
1515,burgundy,220
1516,higher,219
1517,sweeter,219
1518,change,219
1519,graham,218
1520,meal,218
1521,enliven,218
1522,expansive,218
1523,overdo,217
1524,garrigue,217
1525,slightest,217
1526,exude,216
1527,chile,216
1528,mainly,216
1529,straight,216
1530,foam,215
1531,burger,215
1532,envelop,214
1533,thoroughly,214
1534,describe,214
1535,reduction,214
1536,common,214
1537,bristle,213
1538,appetizer,213
1539,sing,213
1540,party,213
1541,incense,213
1542,dramatic,213
1543,available,212
1544,youthfully,212
1545,hefty,212
1546,shellfish,212
1547,familiar,212
1548,tuscan,212
1549,beaujolais,212
1550,amidst,212
1551,mediumsweet,211
1552,kiss,211
1553,damp,211
1554,melony,211
1555,moscato,211
1556,sizzle,210
1557,energize,210
1558,size,210
1559,persimmon,210
1560,wealth,209
1561,cheerful,209
1562,mask,209
1563,exceptionally,209
1564,sizable,208
1565,greet,208
1566,counter,208
1567,ham,207
1568,generosity,207
1569,alpine,207
1570,du,207
1571,ranch,207
1572,clearly,207
1573,beet,207
1574,asparagus,207
1575,honest,206
1576,prior,206
1577,provence,206
1578,remarkably,206
1579,sultry,205
1580,needle,204
1581,chablis,203
1582,vineyarddesignate,203
1583,marshmallow,203
1584,check,203
1585,word,203
1586,youre,203
1587,pea,203
1588,successful,203
1589,cocktail,203
1590,precision,202
1591,demand,202
1592,throw,202
1593,mirabelle,202
1594,vinho,202
1595,quaff,202
1596,cement,201
1597,delicacy,201
1598,prime,201
1599,ahead,201
1600,balsam,201
1601,loam,200
1602,hang,200
1603,designate,199
1604,pollen,199
1605,fizz,199
1606,precede,199
1607,gracefully,199
1608,correct,199
1609,dosage,199
1610,verde,199
1611,tuscany,198
1612,flush,198
1613,previous,198
1614,famous,198
1615,steep,197
1616,suit,197
1617,honeycomb,197
1618,eastern,197
1619,spry,197
1620,tremendous,197
1621,varietally,197
1622,hollow,197
1623,unusually,197
1624,sound,196
1625,sappy,196
1626,longlasting,196
1627,weedy,196
1628,th,195
1629,consistency,195
1630,owner,195
1631,brine,195
1632,côte,195
1633,lactic,195
1634,important,195
1635,burly,194
1636,roble,194
1637,saffron,194
1638,lightfooted,194
1639,broom,193
1640,vegetable,193
1641,amid,193
1642,ridge,193
1643,gl,193
1644,achieve,193
1645,reasonably,193
1646,quaffer,192
1647,enormous,192
1648,spectrum,192
1649,cheesy,191
1650,fresher,191
1651,success,191
1652,kirsch,190
1653,san,190
1654,tingle,190
1655,older,190
1656,mouthcoating,190
1657,lay,189
1658,ageability,189
1659,classically,189
1660,definition,189
1661,granny,189
1662,rose,188
1663,sweaty,188
1664,lover,188
1665,mealy,187
1666,oldest,187
1667,sumptuous,187
1668,mineraldriven,187
1669,pulpy,186
1670,persistence,186
1671,nettle,186
1672,distinctly,186
1673,wine,186
1674,utterly,186
1675,pervade,185
1676,room,185
1677,cover,185
1678,smoothness,185
1679,broaden,184
1680,awkward,184
1681,celery,184
1682,apart,184
1683,whats,184
1684,third,184
1685,noirs,184
1686,cant,184
1687,properly,184
1688,montepulciano,184
1689,graceful,183
1690,role,183
1691,yes,183
1692,anchor,183
1693,moreish,183
